B11,B12,B2,B3,B4,B8,H2_pct,H2_ppm,OBJECTID,sid_vs_mean
4302.286,3790.500,1251.182,1821.647,2530.857,3810.000,1.100,N/A,1901.000,0.3054118986385653
4302.286,3790.500,1251.182,1821.647,2530.857,3810.000,1.300,N/A,1902.000,0.3054118986385653
3064.250,2368.500,725.000,991.800,1042.500,2504.000,1.100,N/A,2010.000,0.4335505372253431
3251.667,2717.000,986.750,1242.800,1549.000,3107.333,2.700,N/A,2047.000,0.3253366760296774
3358.000,2606.667,999.875,1270.756,1496.429,2790.667,5.600,N/A,2145.000,0.3240756274088395
3358.000,2606.667,999.875,1270.756,1496.429,2790.667,17.900,N/A,2146.000,0.3240756274088395
3955.333,2968.583,1564.500,2017.667,2362.200,3622.000,1.000,N/A,2301.000,0.19451029556627025
3588.967,2809.667,642.919,864.200,921.636,2598.000,1.100,N/A,2317.000,0.6009248845888531
2960.500,2128.167,663.444,1053.000,1179.000,2868.000,1.900,N/A,2420.000,0.3937367084286946
3512.333,2796.000,1244.000,1570.667,1939.000,3537.600,6.600,N/A,2450.000,0.24808823083064163
3980.500,3051.000,1082.000,1562.667,2009.556,3137.500,4.600,N/A,2500.000,0.3194124353981631
2166.000,1534.000,444.000,545.333,662.000,2799.000,1.400,N/A,2627.000,0.5547307776889623
2867.333,1875.000,744.667,937.000,997.500,2758.000,1.400,N/A,2656.000,0.38500532083134753
4550.500,3923.000,1591.385,2072.727,2653.333,3936.000,8.100,N/A,2812.000,0.25774845340149344
3475.750,2517.250,665.933,990.833,1319.750,2790.400,1.100,N/A,2936.000,0.467394287187347
2730.333,1762.200,862.750,1127.000,1104.667,3248.000,2.200,N/A,3055.000,0.3081515501876956
3183.500,2149.500,1126.800,1312.667,1431.000,3385.333,56.000,N/A,3158.000,0.26492730475969883
2833.000,2049.500,866.500,1126.500,1434.500,3348.000,80.000,N/A,3160.000,0.29995357965058034
2265.333,1583.750,511.775,687.125,750.200,3003.000,1.000,N/A,3178.000,0.487600067292438
2784.000,2341.000,1004.667,1172.333,1425.714,4070.000,91.800,N/A,3194.000,0.3104993214276591
3781.333,2335.000,724.923,1052.727,1189.000,3753.600,3.200,N/A,3227.000,0.4863209622770279
2332.083,1662.982,544.588,742.333,805.100,3340.286,1.120,N/A,3266.000,0.4839754908145182
3316.500,2775.500,2825.000,2626.000,2690.500,4357.500,17.200,N/A,3339.000,0.05452326191159667
2130.333,1454.000,421.429,539.222,477.429,2342.000,2.400,N/A,3427.000,0.5885722204978802
2801.333,2018.750,1208.500,1320.500,1514.333,3050.000,96.300,N/A,3519.000,0.2000019153645973
3183.200,2505.167,1666.267,2017.000,2131.667,3670.000,33.700,N/A,3534.000,0.1290744493736426
3405.000,2404.000,924.000,1238.286,1508.400,2910.222,1.040,N/A,3730.000,0.3308142680104615
3468.500,3186.000,1394.000,1579.000,2646.000,3203.000,40.000,N/A,3738.000,0.22596785598127883
3258.000,2355.000,803.000,1050.400,1252.333,2280.800,1.740,N/A,3759.000,0.39747103788532145
2361.500,1902.000,993.000,1129.000,1166.000,2271.000,4.600,N/A,3789.000,0.224899704688886
2516.417,1719.500,1165.250,1379.000,1308.500,4543.500,1.200,N/A,3823.000,0.2558189601255805
2001.800,1206.375,829.500,857.833,797.000,3242.000,1.100,N/A,3841.000,0.3184457230572435
2572.143,1861.667,2284.000,2357.000,2246.000,4305.125,26.000,N/A,3861.000,0.048166382076531844
2530.045,2017.125,2459.714,2400.000,2469.000,3735.500,25.600,N/A,3869.000,0.02534804273903352
2457.429,2298.500,5114.750,5082.000,5134.000,5258.250,12.700,N/A,4042.000,0.019077832500215622
1808.000,1562.750,4122.000,3976.000,3924.000,4304.000,57.800,N/A,4058.000,0.02987341831952846
2373.000,2126.250,4430.667,4263.000,4124.000,4890.667,1.000,N/A,4211.000,0.008467623065271726
2141.667,1790.000,3290.000,3250.000,3065.000,4576.500,1.000,N/A,4222.000,0.009726810399290083
2024.200,1712.000,4389.000,4072.000,3906.000,4500.000,2.170,N/A,4259.000,0.022025581711660577
2593.000,1825.500,1650.500,1748.000,1731.000,2844.000,5.636,56361.000,4270.000,0.08808360405017804
1227.200,1170.333,1038.909,1196.600,1422.400,1392.222,7.100,N/A,4271.000,0.04464977656220992
2533.500,2222.400,7729.600,7365.167,7458.667,7520.000,35.000,N/A,4287.000,0.07443371343954344
2321.375,1815.000,5374.250,5102.400,5021.333,5216.000,68.440,N/A,4289.000,0.03683571981058209
2279.300,2274.083,4690.000,4244.000,4256.000,4520.000,12.600,N/A,4290.000,0.012132350968903305
2045.750,1689.500,5289.333,4918.800,4965.600,5081.333,12.600,N/A,4291.000,0.04840118926221064
2032.667,2072.400,7479.000,7116.000,6872.333,6683.800,18.800,N/A,4293.000,0.09614421863667535
1939.500,1709.000,5816.000,5481.333,5164.000,4700.000,93.100,N/A,4294.000,0.0713278601754933
713.500,715.500,943.250,922.500,865.250,843.000,2.175,21749.000,4428.000,0.02195847859089709
713.500,715.500,943.250,922.500,865.250,843.000,1.648,16479.000,4429.000,0.02195847859089709
