longitude,latitude,elevation,emissivity_band10,emissivity_band11,emissivity_band12,emissivity_band13,emissivity_band14,emissivity_sdev_band10,emissivity_sdev_band11,emissivity_sdev_band12,emissivity_sdev_band13,emissivity_sdev_band14,land_water_map,ndvi,ndvi_sdev,num_obs,temperature,temperature_sdev
-107,68,44.80923694779116,972.9698795180723,972.0632530120482,971.0010040160643,977.5050200803213,976.6767068273092,66.40562248995984,68.59437751004016,69.91265060240964,52.333333333333336,57.14558232931727,0.30120481927710846,19.453815261044177,5.907630522088353,3.8042168674698793,28895.571285140562,698.4226907630522
-107,69,54.58316633266533,968.9018036072144,967.7665330661323,966.503006012024,973.9909819639279,974.062124248497,108.8567134268537,99.87374749498998,101.86573146292585,60.712424849699396,61.7374749498998,0.19438877755511022,12.23246492985972,5.797595190380761,3.555110220440882,28125.583166332664,1118.2174348697395
-107,70,123.29718004338395,970.6550976138828,968.4370932754881,966.1073752711496,973.2180043383948,971.5097613882863,80.27331887201736,88.52386117136659,94.74295010845987,52.571583514099785,61.2765726681128,0.1540130151843818,15.415401301518438,5.427331887201736,2.725596529284165,28258.087852494577,1160.3058568329718
-106,19,20.002,980.609,981.071,981.547,987.707,986.922,16.887,17.173,18.313,12.478,14.41,0.837,7.109,2.666,8.105,30329.883,241.8
-106,20,246.621,977.244,977.47,977.263,982.714,981.536,59.882,55.748,56.615,42.851,54.151,0.538,24.271,7.648,7.313,30392.22,411.373
-106,21,47.719,977.991,978.59,978.915,984.01,982.329,41.861,36.492,34.178,36.67,49.334,0.645,16.812,4.195,4.213,30535.069,695.677
-106,22,290.2654508611955,972.5055724417426,972.2806484295846,972.2380952380952,976.2502532928065,973.6484295845999,83.08510638297872,68.19858156028369,63.35055724417427,58.17122593718339,80.6403242147923,0.2634245187436677,27.755825734549138,7.669706180344479,3.388044579533941,30875.761904761905,546.0800405268491
-106,23,1552.4300306435139,971.4555669050051,971.0510725229826,970.9019407558733,971.9233912155261,969.7313585291114,44.72829417773238,40.70173646578141,39.95301327885598,38.7926455566905,49.58120531154239,0.0,33.423901940755876,3.9182839632277835,1.819203268641471,30831.634320735444,200.94177732379978
-106,24,2353.983012457531,972.4971687429219,972.3850509626274,972.2434881087203,970.8187995469989,967.1551528878822,71.08380520951303,59.73839184597961,56.280860702151756,63.89127972819932,86.45753114382786,0.0,33.06568516421291,4.115515288788222,2.318233295583239,30743.565118912797,372.6591166477916
-106,25,2061.860465116279,966.9862579281184,967.492600422833,967.6374207188161,972.607822410148,970.2748414376322,119.51797040169133,101.50951374207189,94.98520084566596,71.21564482029598,89.15644820295984,0.0021141649048625794,27.091966173361524,9.159619450317125,3.6575052854122623,31016.607822410147,514.9429175475688
-106,26,1897.841,962.776,961.234,961.049,973.212,971.705,116.78,109.885,107.971,62.211,71.644,0.0,22.508,7.911,3.189,31555.841,599.059
-106,27,1456.673,956.046,956.124,955.988,971.378,970.357,158.509,142.873,136.273,69.079,70.097,0.0,18.792,7.674,4.358,31659.206,916.597
-106,28,1310.466,955.0,953.008,952.612,969.801,969.454,167.259,161.405,155.621,77.526,76.025,0.001,19.791,6.755,6.317,31358.459,1173.131
-106,29,1351.639,951.259,953.217,953.597,970.212,968.674,157.603,138.284,132.622,70.393,83.099,0.0,14.921,4.412,9.976,31737.866,967.338
-106,30,1336.867,939.208,943.247,943.241,967.926,967.1,171.392,150.068,145.867,71.444,75.765,0.0,13.166,3.677,11.985,31790.47,948.114
-106,31,1333.76,934.56,937.561,937.757,966.198,965.758,201.368,185.101,180.721,85.015,100.386,0.0,13.291,3.679,14.522,31519.8,1068.089
-106,32,1661.487,955.06,958.548,959.322,970.387,968.229,174.767,147.262,140.091,93.906,115.919,0.0,17.94,5.005,17.794,30904.755,1107.801
-106,33,1903.98,965.238,967.495,968.23,972.015,969.442,151.957,119.092,110.59,95.031,129.776,0.0,22.441,5.865,14.172,30583.41,1176.221
-106,34,1885.069,952.017,954.591,954.917,970.294,969.094,205.849,176.072,166.089,91.024,104.689,0.0,16.927,5.05,14.394,30771.098,1399.413
-106,35,2192.535,961.073,962.122,961.695,971.916,971.153,152.932,141.086,140.557,89.49,94.201,0.0,26.949,6.114,9.099,30378.311,1026.806
